GeneIdentifier	Chromosome	Start	Stop	Strand
AT2G17160	Chr2	7472754	7472786	+
AT2G17170	Chr2	7474736	7475029	+
AT2G17210	Chr2	7487608	7485398	-
AT2G17305	Chr2	7527676	7528017	+
AT2G17430	Chr2	7568018	7568209	+
AT2G17600	Chr2	7656219	7654477	-
AT2G17723	Chr2	7700134	7700194	+
AT2G17750	Chr2	7711151	7711014	-
AT2G17785	Chr2	7728927	7728766	-
AT2G17845	Chr2	7758846	7758977	+
AT2G17860	Chr2	7763018	7762261	-
AT2G17960	Chr2	7813129	7812839	-
AT2G18070	Chr2	7852529	7852839	+
AT2G18130	Chr2	7883935	7883768	-
AT2G18140	Chr2	7888878	7888639	-
AT2G18190	Chr2	7915872	7914886	-
AT2G18270	Chr2	7946406	7946158	-
AT2G18320	Chr2	7956220	7956309	+
AT2G18530	Chr2	8039670	8039738	+
AT2G18685	Chr2	8095027	8094824	-
AT2G18721	Chr2	8116999	8117106	+
AT2G18810	Chr2	8149469	8149203	-
AT2G18830	Chr2	8156401	8156204	-
AT2G18870	Chr2	8167471	8167489	+
AT2G18920	Chr2	8198160	8197753	-
AT2G18938	Chr2	8202216	8203004	+
AT2G18969	Chr2	8229574	8229000	-
AT2G19150	Chr2	8305100	8305335	+
AT2G19210	Chr2	8339307	8339220	-
AT2G19220	Chr2	8342161	8341880	-
AT2G19230	Chr2	8348431	8348347	-
AT2G19240	Chr2	8352562	8352381	-
AT2G19290	Chr2	8367022	8366890	-
AT2G19300	Chr2	8368219	8368040	-
AT2G19360	Chr2	8378664	8378816	+
AT2G19420	Chr2	8411701	8411719	+
AT2G19550	Chr2	8465531	8464533	-
AT2G19630	Chr2	8491110	8490891	-
AT2G19893	Chr2	8589953	8590019	+
AT2G19980	Chr2	8628220	8628077	-
AT2G20170	Chr2	8701013	8701168	+
AT2G20350	Chr2	8784769	8785054	+
AT2G20380	Chr2	8795980	8795569	-
AT2G20510	Chr2	8838598	8838524	-
AT2G20613	Chr2	8886444	8886037	-
AT2G20616	Chr2	8888305	8888030	-
AT2G20619	Chr2	8891191	8891391	+
AT2G20620	Chr2	8893244	8893086	-
AT2G20625	Chr2	8897218	8896984	-
AT2G20660	Chr2	8909467	8909772	+
AT2G20873	Chr2	8982123	8982194	+
AT2G20921	Chr2	9000228	9000025	-
AT2G20970	Chr2	9009867	9010067	+
AT2G21010	Chr2	9020944	9021117	+
AT2G21040	Chr2	9026157	9026434	+
AT2G21105	Chr2	9048192	9048203	+
AT2G21235	Chr2	9098767	9097674	-
AT2G21420	Chr2	9169713	9170120	+
AT2G21455	Chr2	9185623	9185590	-
AT2G21595	Chr2	9242951	9242808	-
AT2G21680	Chr2	9267730	9269019	+
AT2G21690	Chr2	9270597	9270487	-
AT2G21720	Chr2	9273696	9273934	+
AT2G21725	Chr2	9277659	9277737	+
AT2G21810	Chr2	9302254	9302640	+
AT2G21920	Chr2	9347159	9346914	-
AT2G21980	Chr2	9359061	9358882	-
AT2G22030	Chr2	9372530	9373681	+
AT2G22040	Chr2	9376260	9376138	-
AT2G22050	Chr2	9376684	9377443	+
AT2G22088	Chr2	9388384	9388540	+
AT2G22121	Chr2	9397864	9397915	+
AT2G22160	Chr2	9425460	9425143	-
AT2G22241	Chr2	9454244	9454399	+
AT2G22320	Chr2	9480105	9480440	+
AT2G22345	Chr2	9495457	9495490	+
AT2G22440	Chr2	9528910	9529234	+
AT2G22520	Chr2	9572066	9572377	+
AT2G22820	Chr2	9721425	9721075	-
AT2G22880	Chr2	9741463	9741119	-
AT2G22940	Chr2	9763462	9763249	-
AT2G22960	Chr2	9770894	9771021	+
AT2G23067	Chr2	9822005	9822148	+
AT2G23118	Chr2	9842025	9841882	-
AT2G23142	Chr2	9850176	9850619	+
AT2G23160	Chr2	9862470	9863744	+
AT2G23190	Chr2	9877058	9877690	+
AT2G23210	Chr2	9883397	9881596	-
AT2G23220	Chr2	9884550	9885095	+
AT2G23250	Chr2	9899125	9897809	-
AT2G23321	Chr2	9926378	9926518	+
AT2G23445	Chr2	9985933	9985993	+
AT2G23510	Chr2	10013533	10013078	-
AT2G23987	Chr2	10206259	10206115	-
AT2G24080	Chr2	10238779	10238374	-
AT2G24340	Chr2	10359546	10359511	-
AT2G24410	Chr2	10379407	10379159	-
AT2G24470	Chr2	10396622	10396580	-
AT2G24480	Chr2	10397588	10398184	+
AT2G24510	Chr2	10404373	10404456	+
AT2G24520	Chr2	10414963	10414980	+
AT2G24615	Chr2	10461199	10461265	+
AT2G24617	Chr2	10462910	10463224	+
AT2G24625	Chr2	10468340	10468394	+
AT2G24696	Chr2	10510902	10510830	-
AT2G24740	Chr2	10531957	10529690	-
AT2G24810	Chr2	10573862	10573916	+
AT2G24880	Chr2	10590862	10590554	-
AT2G24950	Chr2	10613105	10613320	+
AT2G25055	Chr2	10660525	10660620	+
AT2G25120	Chr2	10689934	10690227	+
AT2G25125	Chr2	10741777	10742001	+
AT2G25169	Chr2	10714014	10713931	-
AT2G25230	Chr2	10748467	10748364	-
AT2G25312	Chr2	10780409	10780074	-
AT2G25330	Chr2	10791331	10790122	-
AT2G25340	Chr2	10793832	10793616	-
AT2G25360	Chr2	10804249	10804338	+
AT2G25440	Chr2	10826735	10827112	+
AT2G25500	Chr2	10854948	10854652	-
AT2G25530	Chr2	10863059	10863196	+
AT2G25565	Chr2	10885295	10884803	-
AT2G25630	Chr2	10908360	10909481	+
AT2G25905	Chr2	11045992	11046011	+
AT2G25964	Chr2	11071287	11070639	-
AT2G26050	Chr2	11099380	11099268	-
AT2G26120	Chr2	11123430	11123576	+
AT2G26135	Chr2	11130119	11130439	+
AT2G26160	Chr2	11139451	11137978	-
AT2G26320	Chr2	11206287	11206055	-
AT2G26610	Chr2	11318771	11319723	+
AT2G26620	Chr2	11326835	11326692	-
AT2G26720	Chr2	11384782	11385402	+
AT2G27010	Chr2	11527854	11527487	-
AT2G27070	Chr2	11560215	11560092	-
AT2G27240	Chr2	11659579	11659780	+
AT2G27280	Chr2	11675613	11675029	-
AT2G27313	Chr2	11689141	11688938	-
AT2G27380	Chr2	11713411	11715774	+
AT2G27390	Chr2	11720888	11720484	-
AT2G27410	Chr2	11725419	11724427	-
AT2G27520	Chr2	11762061	11763143	+
AT2G27570	Chr2	11775329	11775658	+
AT2G27610	Chr2	11786533	11783927	-
AT2G27670	Chr2	11802891	11802832	-
AT2G27700	Chr2	11816002	11815526	-
AT2G27750	Chr2	11824461	11823916	-
AT2G27780	Chr2	11846578	11845472	-
AT2G28030	Chr2	11935386	11934208	-
AT2G28050	Chr2	11939653	11937871	-
AT2G28090	Chr2	11974007	11973845	-
AT2G28170	Chr2	12009956	12009678	-
AT2G28180	Chr2	12013739	12013443	-
AT2G28220	Chr2	12033998	12035327	+
AT2G28340	Chr2	12103672	12103917	+
AT2G28426	Chr2	12159407	12159276	-
AT2G28725	Chr2	12328605	12328943	+
AT2G28815	Chr2	12368064	12367876	-
AT2G28920	Chr2	12418017	12418576	+
AT2G29000	Chr2	12460781	12460865	+
AT2G29045	Chr2	12476372	12476432	+
AT2G29150	Chr2	12536964	12536873	-
AT2G29250	Chr2	12580780	12578909	-
AT2G29263	Chr2	12584428	12584168	-
AT2G29452	Chr2	12625985	12625854	-
AT2G29605	Chr2	12660087	12660016	-
AT2G29628	Chr2	12666957	12666832	-
AT2G29640	Chr2	12671206	12671289	+
AT2G29654	Chr2	12677461	12677279	-
AT2G29679	Chr2	12689398	12689276	-
AT2G29735	Chr2	12705699	12705346	-
AT2G29780	Chr2	12719328	12718374	-
AT2G29800	Chr2	12724602	12723337	-
AT2G29810	Chr2	12727253	12726102	-
AT2G29820	Chr2	12729528	12728362	-
AT2G29840	Chr2	12733983	12733827	-
AT2G29850	Chr2	12734725	12734754	+
AT2G29860	Chr2	12738388	12737666	-
AT2G29880	Chr2	12742536	12742895	+
AT2G30090	Chr2	12845597	12845403	-
AT2G30300	Chr2	12919401	12919690	+
AT2G30310	Chr2	12923055	12923681	+
AT2G30385	Chr2	12949797	12949800	+
AT2G30430	Chr2	12968176	12968412	+
AT2G30560	Chr2	13017347	13017569	+
AT2G30750	Chr2	13101371	13100985	-
AT2G30760	Chr2	13108221	13108144	-
AT2G30770	Chr2	13111988	13111602	-
AT2G30925	Chr2	13161815	13161943	+
AT2G30940	Chr2	13168533	13169128	+
AT2G31005	Chr2	13193504	13193557	+
AT2G31018	Chr2	13201551	13201432	-
AT2G31030	Chr2	13206004	13206244	+
AT2G31035	Chr2	13208667	13208918	+
AT2G31050	Chr2	13212150	13212752	+
AT2G31215	Chr2	13299807	13299959	+
AT2G31460	Chr2	13404776	13405510	+
AT2G31590	Chr2	13448133	13448037	-
AT2G31620	Chr2	13452908	13452588	-
AT2G31690	Chr2	13477547	13476093	-
AT2G31700	Chr2	13480510	13480590	+
AT2G31720	Chr2	13485975	13485034	-
AT2G31760	Chr2	13508493	13509668	+
AT2G31770	Chr2	13511579	13512784	+
AT2G31780	Chr2	13515199	13516437	+
AT2G31850	Chr2	13540199	13540540	+
AT2G31981	Chr2	13609981	13610094	+
AT2G32360	Chr2	13737546	13737019	-
AT2G32680	Chr2	13862614	13859769	-
AT2G32780	Chr2	13901870	13900624	-
AT2G32835	Chr2	13931453	13931166	-
AT2G33020	Chr2	14016516	14016099	-
AT2G33030	Chr2	14018340	14017684	-
AT2G33050	Chr2	14021870	14024398	+
AT2G33090	Chr2	14035961	14035215	-
AT2G33160	Chr2	14053404	14054128	+
AT2G33200	Chr2	14069541	14070671	+
AT2G33230	Chr2	14081971	14081273	-
AT2G33585	Chr2	14224167	14223712	-
AT2G33655	Chr2	14244569	14244399	-
AT2G33685	Chr2	14252495	14252455	-
AT2G33705	Chr2	14256151	14256360	+
AT2G33760	Chr2	14275800	14277551	+
AT2G33796	Chr2	14300252	14300005	-
AT2G34090	Chr2	14399275	14398996	-
AT2G34120	Chr2	14405339	14405551	+
AT2G34123	Chr2	14406240	14406306	+
AT2G34186	Chr2	14435949	14435854	-
AT2G34210	Chr2	14445938	14446190	+
AT2G34240	Chr2	14459157	14460695	+
AT2G34270	Chr2	14469876	14468658	-
AT2G34320	Chr2	14484959	14485837	+
AT2G34360	Chr2	14507294	14507539	+
AT2G34370	Chr2	14510482	14511944	+
AT2G34880	Chr2	14716634	14716602	-
AT2G34890	Chr2	14721271	14721154	-
AT2G35080	Chr2	14791448	14791406	-
AT2G35130	Chr2	14810164	14810163	-
AT2G35250	Chr2	14848662	14848591	-
AT2G35280	Chr2	14860200	14859378	-
AT2G35460	Chr2	14905788	14906504	+
AT2G35555	Chr2	14931504	14931242	-
AT2G35580	Chr2	14935482	14935383	-
AT2G35640	Chr2	14982835	14983519	+
AT2G35733	Chr2	15022867	15022676	-
AT2G35736	Chr2	15023254	15023084	-
AT2G35850	Chr2	15056753	15056995	+
AT2G35965	Chr2	15109534	15109397	-
AT2G35970	Chr2	15109007	15109773	+
AT2G36026	Chr2	15127265	15127816	+
AT2G36030	Chr2	15127771	15127559	-
AT2G36180	Chr2	15174216	15173652	-
AT2G36370	Chr2	15247768	15247946	+
AT2G36450	Chr2	15294857	15294303	-
AT2G36540	Chr2	15325237	15325492	+
AT2G36560	Chr2	15332447	15332168	-
AT2G36660	Chr2	15364398	15364167	-
AT2G36700	Chr2	15386421	15386183	-
AT2G36815	Chr2	15440769	15440836	+
AT2G36854	Chr2	15469719	15469904	+
AT2G37140	Chr2	15602863	15602982	+
AT2G37300	Chr2	15664599	15664460	-
AT2G37610	Chr2	15777673	15777564	-
AT2G37720	Chr2	15818082	15818140	+
AT2G37730	Chr2	15824538	15824045	-
AT2G37780	Chr2	15838302	15837442	-
AT2G37810	Chr2	15846051	15845350	-
AT2G37910	Chr2	15868399	15869097	+
AT2G38150	Chr2	15982917	15981625	-
AT2G38152	Chr2	15985278	15984985	-
AT2G38350	Chr2	16068341	16068391	+
AT2G38490	Chr2	16115204	16113909	-
AT2G38510	Chr2	16123985	16125535	+
AT2G38590	Chr2	16142897	16144184	+
AT2G38720	Chr2	16188047	16188097	+
AT2G38800	Chr2	16216999	16218842	+
AT2G38830	Chr2	16225777	16226872	+
AT2G39160	Chr2	16334173	16334130	-
AT2G39320	Chr2	16418517	16418491	-
AT2G39355	Chr2	16436504	16436833	+
AT2G39520	Chr2	16496813	16496948	+
AT2G39590	Chr2	16518247	16518115	-
AT2G39782	Chr2	16594516	16594037	-
AT2G39790	Chr2	16594833	16595078	+
AT2G39865	Chr2	16641907	16641761	-
AT2G40210	Chr2	16794328	16793213	-
AT2G40220	Chr2	16797585	16796247	-
AT2G40310	Chr2	16834065	16834208	+
AT2G40440	Chr2	16889580	16889458	-
AT2G40500	Chr2	16916330	16917217	+
AT2G40560	Chr2	16939616	16938705	-
AT2G40715	Chr2	16985791	16985765	-
AT2G40720	Chr2	16987269	16989851	+
AT2G40980	Chr2	17102090	17102096	+
AT2G41080	Chr2	17132602	17134554	+
AT2G41082	Chr2	17134825	17135059	+
AT2G41105	Chr2	17139159	17139055	-
AT2G41300	Chr2	17216292	17216236	-
AT2G41375	Chr2	17238380	17238532	+
AT2G41417	Chr2	17264512	17264564	+
AT2G41470	Chr2	17293749	17293718	-
AT2G41473	Chr2	17294728	17294453	-
AT2G41505	Chr2	17314690	17314565	-
AT2G41910	Chr2	17496956	17498077	+
AT2G41930	Chr2	17501629	17502686	+
AT2G42090	Chr2	17556744	17556785	+
AT2G42100	Chr2	17560211	17560273	+
AT2G42270	Chr2	17604330	17610861	+
AT2G42370	Chr2	17643334	17644501	+
AT2G42470	Chr2	17685112	17685012	-
AT2G42550	Chr2	17713196	17714230	+
AT2G42865	Chr2	17835594	17835514	-
AT2G42930	Chr2	17861272	17860868	-
AT2G42955	Chr2	17867572	17867402	-
AT2G43270	Chr2	17989491	17989098	-
AT2G43530	Chr2	18070110	18070170	+
AT2G43550	Chr2	18073305	18073359	+
AT2G43860	Chr2	18164428	18163967	-
AT2G43865	Chr2	18165878	18165419	-
AT2G44030	Chr2	18220086	18221228	+
AT2G44175	Chr2	18268788	18269126	+
AT2G44198	Chr2	18276164	18276066	-
AT2G44250	Chr2	18293457	18293618	+
AT2G44390	Chr2	18326551	18326403	-
AT2G44540	Chr2	18388110	18387889	-
AT2G44550	Chr2	18391142	18390921	-
AT2G44730	Chr2	18438565	18437333	-
AT2G44735	Chr2	18438623	18438716	+
AT2G44850	Chr2	18498672	18498683	+
AT2G44993	Chr2	18565339	18564248	-
AT2G45380	Chr2	18703093	18702958	-
AT2G46050	Chr2	18939262	18941034	+
AT2G46308	Chr2	19011355	19011167	-
AT2G46460	Chr2	19071537	19072019	+
AT2G46494	Chr2	19083811	19083130	-
AT2G46560	Chr2	19125856	19125793	-
AT2G46567	Chr2	19126751	19126641	-
AT2G46670	Chr2	19165233	19164781	-
AT2G46810	Chr2	19239694	19239765	+
AT2G46840	Chr2	19249909	19249756	-
AT2G47150	Chr2	19353114	19352924	-
AT2G47245	Chr2	19398184	19398428	+
AT2G47570	Chr2	19516922	19516836	-
AT2G47720	Chr2	19556624	19556750	+
AT2G47935	Chr2	19617250	19617549	+
AT3G01010	Chr3	4342	4818	+
AT3G01030	Chr3	6657	7772	+
AT3G01319	Chr3	106436	106296	-
AT3G01329	Chr3	119178	118849	-
AT3G01360	Chr3	138731	137770	-
AT3G01475	Chr3	183289	183455	+
AT3G01572	Chr3	223081	222968	-
AT3G01880	Chr3	307782	309560	+
AT3G01961	Chr3	325181	325351	+
AT3G01990	Chr3	330099	330109	+
AT3G02100	Chr3	370484	369962	-
AT3G02255	Chr3	426787	426972	+
AT3G02270	Chr3	451007	448977	-
AT3G02960	Chr3	668626	668618	-
AT3G02975	Chr3	669175	669181	+
AT3G03340	Chr3	786205	786585	+
AT3G03400	Chr3	809158	808745	-
AT3G03405	Chr3	810795	810712	-
AT3G03410	Chr3	811719	811324	-
AT3G03540	Chr3	848297	847855	-
AT3G03726	Chr3	934464	934224	-
AT3G03730	Chr3	936320	935139	-
AT3G03773	Chr3	951628	951640	+
AT3G03826	Chr3	978265	978304	+
AT3G03847	Chr3	982587	982192	-
AT3G03930	Chr3	1012810	1012746	-
AT3G04100	Chr3	1075299	1075922	+
AT3G04184	Chr3	1100246	1100085	-
AT3G04250	Chr3	1121950	1122828	+
AT3G04390	Chr3	1165765	1165661	-
AT3G04410	Chr3	1168837	1168938	+
AT3G04430	Chr3	1176986	1176845	-
AT3G04800	Chr3	1315045	1314479	-
AT3G04903	Chr3	1350510	1350561	+
AT3G04943	Chr3	1368678	1368621	-
AT3G04945	Chr3	1369532	1369472	-
AT3G04990	Chr3	1384679	1383953	-
AT3G05110	Chr3	1427719	1427625	-
AT3G05240	Chr3	1495381	1493684	-
AT3G05310	Chr3	1510160	1510371	+
AT3G05425	Chr3	1567474	1567605	+
AT3G05440	Chr3	1572718	1573011	+
AT3G05450	Chr3	1576418	1576192	-
AT3G05540	Chr3	1608030	1608003	-
AT3G05685	Chr3	1674908	1674855	-
AT3G05746	Chr3	1703250	1703611	+
AT3G05775	Chr3	1714822	1714775	-
AT3G05780	Chr3	1719608	1719596	-
AT3G06000	Chr3	1801446	1802081	+
AT3G06019	Chr3	1813224	1813114	-
AT3G06085	Chr3	1837623	1837653	+
AT3G06230	Chr3	1885496	1886377	+
AT3G06280	Chr3	1898751	1898155	-
AT3G06436	Chr3	1970340	1970363	+
AT3G06545	Chr3	2038312	2038810	+
AT3G06690	Chr3	2116825	2116773	-
AT3G06895	Chr3	2178129	2178291	+
AT3G06970	Chr3	2201150	2200980	-
AT3G06990	Chr3	2206387	2206849	+
AT3G07005	Chr3	2212063	2212132	+
AT3G07273	Chr3	2317926	2317616	-
AT3G07520	Chr3	2398291	2397988	-
AT3G07522	Chr3	2398874	2398746	-
AT3G07710	Chr3	2464773	2464336	-
AT3G07920	Chr3	2526229	2526176	-
AT3G08636	Chr3	2622666	2622845	+
AT3G08750	Chr3	2657825	2656716	-
AT3G09020	Chr3	2753307	2754621	+
AT3G09130	Chr3	2799312	2800505	+
AT3G09380	Chr3	2886095	2886003	-
AT3G09510	Chr3	2921804	2923258	+
AT3G09863	Chr3	3027292	3027423	+
AT3G09990	Chr3	3075142	3075104	-
AT3G10113	Chr3	3119391	3119230	-
AT3G10240	Chr3	3166698	3167867	+
AT3G10280	Chr3	3180064	3180640	+
AT3G10430	Chr3	3243862	3242750	-
AT3G10439	Chr3	3245329	3245231	-
AT3G10510	Chr3	3275551	3274882	-
AT3G10527	Chr3	3281676	3281978	+
AT3G10750	Chr3	3366927	3367612	+
AT3G10790	Chr3	3377410	3378369	+
AT3G10845	Chr3	3394009	3394042	+
AT3G10890	Chr3	3409000	3408671	-
AT3G10900	Chr3	3412070	3411744	-
AT3G10950	Chr3	3423893	3423895	+
AT3G10990	Chr3	3446995	3446462	-
AT3G11060	Chr3	3466944	3466303	-
AT3G11165	Chr3	3499090	3499052	-
AT3G11300	Chr3	3540473	3540390	-
AT3G11310	Chr3	3544333	3544043	-
AT3G11350	Chr3	3558495	3558656	+
AT3G11380	Chr3	3564079	3564858	+
AT3G11390	Chr3	3569828	3572062	+
AT3G11405	Chr3	3580895	3581359	+
AT3G11460	Chr3	3608250	3610121	+
AT3G11720	Chr3	3708721	3708681	-
AT3G11840	Chr3	3738208	3737869	-
AT3G11860	Chr3	3744816	3744905	+
AT3G11870	Chr3	3749093	3748336	-
AT3G11920	Chr3	3772311	3773267	+
AT3G12190	Chr3	3886183	3886992	+
AT3G12230	Chr3	3901879	3901749	-
AT3G12440	Chr3	3952260	3951108	-
AT3G12500	Chr3	3963984	3963525	-
AT3G12660	Chr3	4019060	4019827	+
AT3G12775	Chr3	4059772	4059865	+
AT3G12835	Chr3	4083369	4083265	-
AT3G12840	Chr3	4085970	4085431	-
AT3G12850	Chr3	4090303	4090292	-
AT3G12915	Chr3	4112834	4112836	+
AT3G13010	Chr3	4164733	4163236	-
AT3G13020	Chr3	4168917	4167321	-
AT3G13075	Chr3	4195219	4195500	+
AT3G13220	Chr3	4250703	4250506	-
AT3G13276	Chr3	4294341	4294384	+
AT3G13280	Chr3	4297000	4296796	-
AT3G13370	Chr3	4341664	4342230	+
AT3G13403	Chr3	4358826	4358792	-
AT3G13590	Chr3	4437334	4437228	-
AT3G13662	Chr3	4467090	4467605	+
AT3G13820	Chr3	4549616	4551011	+
AT3G13830	Chr3	4553943	4555076	+
AT3G13882	Chr3	4574521	4574622	+
AT3G14140	Chr3	4688546	4688569	+
AT3G14225	Chr3	4735993	4735726	-
AT3G14250	Chr3	4746958	4746120	-
AT3G14320	Chr3	4778345	4777594	-
AT3G14452	Chr3	4851696	4851812	+
AT3G14463	Chr3	4852291	4852476	+
AT3G14467	Chr3	4856537	4856593	+
AT3G14480	Chr3	4862153	4862680	+
AT3G14490	Chr3	4865949	4865704	-
AT3G14730	Chr3	4951346	4949178	-
AT3G14820	Chr3	4978726	4978789	+
AT3G14970	Chr3	5039733	5039071	-
AT3G14981	Chr3	5045110	5045328	+
AT3G15111	Chr3	5085860	5085976	+
AT3G15200	Chr3	5119060	5117489	-
AT3G15251	Chr3	5137205	5137318	+
AT3G15548	Chr3	5267063	5267164	+
AT3G15578	Chr3	5273691	5273873	+
AT3G15604	Chr3	5287544	5287380	-
AT3G15635	Chr3	5297396	5297517	+
AT3G15740	Chr3	5334553	5333769	-
AT3G15860	Chr3	5361719	5361207	-
AT3G15909	Chr3	5381603	5381740	+
AT3G15910	Chr3	5382061	5382496	+
AT3G15930	Chr3	5387444	5389425	+
AT3G15960	Chr3	5406461	5406387	-
AT3G16117	Chr3	5464543	5464710	+
AT3G16130	Chr3	5466246	5466513	+
AT3G16432	Chr3	5583943	5584128	+
AT3G16540	Chr3	5628857	5628449	-
AT3G16550	Chr3	5632441	5632153	-
AT3G16555	Chr3	5633426	5633737	+
AT3G16590	Chr3	5651056	5649932	-
AT3G16600	Chr3	5655670	5655572	-
AT3G16610	Chr3	5658335	5656215	-
AT3G16712	Chr3	5692016	5691801	-
AT3G16820	Chr3	5729174	5728868	-
AT3G16880	Chr3	5766733	5767830	+
AT3G16930	Chr3	5778876	5779046	+
AT3G16960	Chr3	5792264	5792054	-
AT3G16970	Chr3	5794090	5793668	-
AT3G17140	Chr3	5846589	5846554	-
AT3G17190	Chr3	5867392	5867545	+
AT3G17230	Chr3	5889236	5888633	-
AT3G17261	Chr3	5898109	5898002	-
AT3G17265	Chr3	5900637	5900199	-
AT3G17270	Chr3	5902886	5902479	-
AT3G17280	Chr3	5904613	5903453	-
AT3G17320	Chr3	5916656	5915427	-
AT3G17370	Chr3	5949644	5949006	-
AT3G17400	Chr3	5954887	5955444	+
AT3G17480	Chr3	5983196	5984320	+
AT3G17490	Chr3	5984827	5985993	+
AT3G17500	Chr3	5986682	5987827	+
AT3G17530	Chr3	6000860	6002282	+
AT3G17540	Chr3	6002783	6003973	+
AT3G17550	Chr3	6006004	6005114	-
AT3G17560	Chr3	6006762	6008003	+
AT3G17620	Chr3	6027694	6026446	-
AT3G17675	Chr3	6042850	6042667	-
AT3G17717	Chr3	6061180	6061321	+
AT3G17720	Chr3	6062446	6062544	+
AT3G17765	Chr3	6078884	6079220	+
AT3G18120	Chr3	6210572	6210090	-
AT3G18150	Chr3	6217929	6218848	+
AT3G18180	Chr3	6230270	6230426	+
AT3G18235	Chr3	6255301	6255153	-
AT3G18282	Chr3	6268586	6268466	-
AT3G18340	Chr3	6294018	6294251	+
AT3G18460	Chr3	6333948	6333747	-
AT3G18485	Chr3	6343178	6342566	-
AT3G18518	Chr3	6360135	6360532	+
AT3G18650	Chr3	6418504	6417344	-
AT3G18700	Chr3	6432905	6432765	-
AT3G18775	Chr3	6468015	6467923	-
AT3G18905	Chr3	6520205	6520792	+
AT3G18915	Chr3	6524051	6524289	+
AT3G18957	Chr3	6541807	6541749	-
AT3G19035	Chr3	6565949	6566053	+
AT3G19055	Chr3	6592316	6592407	+
AT3G19070	Chr3	6593773	6593941	+
AT3G19140	Chr3	6615335	6614910	-
AT3G19410	Chr3	6729585	6730706	+
AT3G19565	Chr3	6796022	6796161	+
AT3G19580	Chr3	6804114	6803272	-
AT3G19595	Chr3	6809508	6808585	-
AT3G19613	Chr3	6814588	6814691	+
AT3G19700	Chr3	6843662	6846248	+
AT3G19880	Chr3	6912604	6911435	-
AT3G19890	Chr3	6916142	6914910	-
AT3G19940	Chr3	6938211	6938672	+
AT3G20030	Chr3	6990254	6991462	+
AT3G20362	Chr3	7103817	7103838	+
AT3G20555	Chr3	7178614	7178474	-
AT3G20610	Chr3	7196723	7197391	+
AT3G20690	Chr3	7232682	7231570	-
AT3G20700	Chr3	7234505	7233525	-
AT3G20860	Chr3	7306180	7306265	+
AT3G20900	Chr3	7324670	7324637	-
AT3G20950	Chr3	7342675	7342824	+
AT3G20980	Chr3	7355963	7356372	+
AT3G20997	Chr3	7363081	7363030	-
AT3G21120	Chr3	7406326	7407429	+
AT3G21130	Chr3	7408246	7409349	+
AT3G21165	Chr3	7418695	7418860	+
AT3G21371	Chr3	7527704	7527910	+
AT3G21405	Chr3	7536082	7536288	+
AT3G21410	Chr3	7537951	7536719	-
AT3G21450	Chr3	7555236	7555063	-
AT3G21470	Chr3	7563503	7565160	+
AT3G21473	Chr3	7565166	7565272	+
AT3G21490	Chr3	7573065	7573100	+
AT3G21660	Chr3	7626654	7626616	-
AT3G21830	Chr3	7693939	7693481	-
AT3G21945	Chr3	7732263	7732589	+
AT3G21980	Chr3	7745143	7745466	+
AT3G22010	Chr3	7754311	7754660	+
AT3G22022	Chr3	7757829	7758032	+
AT3G22030	Chr3	7759317	7759645	+
AT3G22040	Chr3	7761807	7762136	+
AT3G22053	Chr3	7767433	7767767	+
AT3G22057	Chr3	7769346	7769549	+
AT3G22085	Chr3	7781718	7781576	-
AT3G22100	Chr3	7784469	7783638	-
AT3G22142	Chr3	7808046	7803492	-
AT3G22183	Chr3	7831129	7831371	+
AT3G22333	Chr3	7896153	7896764	+
AT3G22337	Chr3	7896819	7897319	+
AT3G22345	Chr3	7899215	7900514	+
AT3G22350	Chr3	7901905	7902504	+
AT3G22460	Chr3	7963855	7963896	+
AT3G22580	Chr3	8003145	8002762	-
AT3G22650	Chr3	8014809	8015385	+
AT3G22710	Chr3	8027274	8027077	-
AT3G22720	Chr3	8030100	8028961	-
AT3G22723	Chr3	8030474	8030629	+
AT3G22730	Chr3	8032459	8031341	-
AT3G22770	Chr3	8048667	8047684	-
AT3G22860	Chr3	8093248	8093219	-
AT3G22870	Chr3	8096230	8097471	+
AT3G22935	Chr3	8130391	8130466	+
AT3G22940	Chr3	8131468	8132706	+
AT3G23110	Chr3	8224871	8222364	-
AT3G23122	Chr3	8234261	8234268	+
AT3G23123	Chr3	8234559	8234314	-
AT3G23145	Chr3	8252138	8252200	+
AT3G23165	Chr3	8265060	8265003	-
AT3G23167	Chr3	8266585	8266528	-
AT3G23172	Chr3	8272657	8272613	-
AT3G23245	Chr3	8300833	8300765	-
AT3G23260	Chr3	8313334	8314575	+
AT3G23320	Chr3	8344629	8345204	+
AT3G23420	Chr3	8387366	8386782	-
AT3G23460	Chr3	8412319	8412431	+
AT3G23637	Chr3	8499888	8499727	-
AT3G23650	Chr3	8511196	8511076	-
AT3G23680	Chr3	8527173	8527061	-
AT3G23685	Chr3	8527239	8527982	+
AT3G23715	Chr3	8536850	8536916	+
AT3G23950	Chr3	8654164	8652908	-
AT3G23960	Chr3	8657736	8658980	+
AT3G23970	Chr3	8661688	8660447	-
AT3G24060	Chr3	8690032	8689589	-
AT3G24260	Chr3	8794961	8793837	-
AT3G24270	Chr3	8797031	8796899	-
AT3G24290	Chr3	8802890	8801400	-
AT3G24330	Chr3	8830336	8831838	+
AT3G24465	Chr3	8895140	8894870	-
