GeneIdentifier	Start	Strand
AT3G30844	12606196	-
AT3G30845	12624754	-
AT3G30846	12619019	-
AT3G30848	12626126	+
AT3G30852	12635506	-
AT3G30859	12637092	+
AT3G31023	12666444	-
AT3G31300	12674427	+
AT3G31310	12677228	+
AT3G31312	12680669	-
AT3G31314	12683179	-
AT3G31317	12691103	-
AT3G31320	12694627	+
AT3G31330	12697778	-
AT3G31340	12698079	+
AT3G31350	12702587	+
AT3G31355	12704807	-
AT3G31356	12711435	-
AT3G31357	12713010	+
AT3G31358	12716114	-
AT3G31359	12722775	-
AT3G31360	12724422	-
AT3G31365	12729587	-
AT3G31367	12737948	-
AT3G31370	12739412	+
AT3G31373	12742861	+
AT3G31374	12745879	+
AT3G31375	12748365	+
AT3G31377	12753386	+
AT3G31380	12758024	+
AT3G31390	12762223	-
AT3G31395	12762661	+
AT3G31402	12773539	-
AT3G31403	12776573	+
AT3G31406	12779538	+
AT3G31410	12783581	-
AT3G31420	12792017	-
AT3G31422	12795066	-
AT3G31430	12796871	-
AT3G31440	12806091	-
AT3G31442	12804796	-
AT3G31450	12810851	+
AT3G31460	12815570	-
AT3G31470	12820597	-
AT3G31475	12820631	+
AT3G31490	12827347	-
AT3G31500	12828688	+
AT3G31530	12838149	+
AT3G31540	12845748	-
AT3G31550	12836283	+
AT3G31560	12870400	+
AT3G31630	12852502	+
AT3G31720	12861831	+
AT3G31810	12868798	+
AT3G31900	12875071	+
AT3G31904	12891812	-
AT3G31905	12895070	-
AT3G31909	12906598	+
AT3G31910	12910391	-
AT3G31915	12909851	+
AT3G31920	12926590	-
AT3G31925	12931025	+
AT3G31930	12928342	+
AT3G31935	12933228	+
AT3G31940	12940786	+
AT3G31945	12949134	-
AT3G31950	12950113	+
AT3G31955	12954422	-
AT3G31970	12967061	-
AT3G31980	12976508	-
AT3G31990	12981090	-
AT3G31993	12982740	-
AT3G31996	12982726	+
AT3G32000	12984313	+
AT3G32010	12988334	+
AT3G32020	12992006	+
AT3G32021	12998969	-
AT3G32022	13007712	-
AT3G32023	12994435	-
AT3G32024	13009829	-
AT3G32026	13011960	-
AT3G32027	13013955	-
AT3G32028	13016975	-
AT3G32029	13022411	-
AT3G32030	13035440	-
AT3G32031	13026492	-
AT3G32032	13028679	+
AT3G32033	13019596	-
AT3G32035	13035628	+
AT3G32040	13049106	-
AT3G32043	13058318	-
AT3G32047	13061048	+
AT3G32050	13068582	-
AT3G32060	13073033	+
AT3G32070	13075710	+
AT3G32080	13078338	-
AT3G32090	13078956	+
AT3G32091	13080593	+
AT3G32092	13091973	-
AT3G32093	13092825	+
AT3G32095	13094381	+
AT3G32110	13097952	+
AT3G32112	13105076	+
AT3G32115	13109258	+
AT3G32116	13116266	+
AT3G32118	13119182	+
AT3G32130	13127479	+
AT3G32135	13134079	+
AT3G32140	13139009	-
AT3G32150	13143627	+
AT3G32160	13145440	+
AT3G32164	13152346	-
AT3G32168	13157222	+
AT3G32172	13160004	+
AT3G32176	13161120	+
AT3G32180	13162787	-
AT3G32190	13164557	-
AT3G32195	13165571	+
AT3G32200	13171527	-
AT3G32205	13177241	-
AT3G32210	13191327	-
AT3G32220	13192745	-
AT3G32223	13197009	-
AT3G32226	13198631	+
AT3G32230	13203901	+
AT3G32240	13209736	+
AT3G32250	13213926	+
AT3G32260	13219168	+
AT3G32270	13222099	+
AT3G32275	13231439	+
AT3G32280	13233832	+
AT3G32290	13241231	+
AT3G32295	13245762	+
AT3G32300	13251125	-
AT3G32305	13256745	-
AT3G32320	13275593	-
AT3G32330	13276082	+
AT3G32340	13281228	-
AT3G32360	13287540	-
AT3G32373	13302758	-
AT3G32380	13315983	-
AT3G32383	13314146	+
AT3G32385	13322975	-
AT3G32389	13333768	+
AT3G32391	13340018	+
AT3G32393	13344240	+
AT3G32394	13350684	+
AT3G32395	13352788	-
AT3G32397	13355722	-
AT3G32400	13360630	-
AT3G32405	13367722	-
AT3G32410	13369133	-
AT3G32415	13369797	+
AT3G32420	13375467	-
AT3G32425	13383624	-
AT3G32435	13384773	-
AT3G32455	13392364	+
AT3G32465	13393749	-
AT3G32475	13399945	-
AT3G32677	13402913	-
AT3G32880	13406508	-
AT3G32890	13410776	-
AT3G32893	13415897	-
AT3G32894	13421837	-
AT3G32895	13431016	+
AT3G32896	13424905	+
AT3G32897	13438015	-
AT3G32898	13439677	-
AT3G32899	13448710	-
AT3G32900	13458903	+
AT3G32901	13457496	-
AT3G32902	13428501	-
AT3G32903	13429387	+
AT3G32904	13452807	-
AT3G32910	13464088	+
AT3G32912	13467015	-
AT3G32914	13473530	-
AT3G32917	13479549	-
AT3G32920	13489243	-
AT3G32925	13488632	-
AT3G32930	13489249	+
AT3G32940	13493834	-
AT3G32950	13498632	-
AT3G32960	13499677	+
AT3G32962	13502564	+
AT3G32964	13503321	+
AT3G32966	13510191	+
AT3G32968	13515598	-
AT3G32970	13520041	-
AT3G32975	13524114	-
AT3G32980	13530098	-
AT3G33005	13544797	+
AT3G33006	13550422	+
AT3G33008	13553322	+
AT3G33009	13561767	-
AT3G33010	13571420	-
AT3G33011	13566382	-
AT3G33030	13574217	+
AT3G33035	13579562	-
AT3G33045	13580782	-
AT3G33055	13581147	+
AT3G33058	13601800	+
AT3G33064	13620209	+
AT3G33065	13659333	-
AT3G33066	13628913	-
AT3G33067	13649581	+
AT3G33069	13803173	+
AT3G33070	13667883	-
AT3G33071	13637775	-
AT3G33072	13634029	-
AT3G33073	13649212	-
AT3G33074	13639834	-
AT3G33075	13640618	-
AT3G33076	13744449	-
AT3G33077	13645176	+
AT3G33079	13619474	-
AT3G33080	13817171	-
AT3G33081	13616153	-
AT3G33082	13612560	-
AT3G33083	13609396	+
AT3G33084	13675144	+
AT3G33085	13607765	+
AT3G33091	13820758	-
AT3G33094	13821634	-
AT3G33097	13828506	-
AT3G33100	13833069	-
AT3G33106	13871109	+
AT3G33109	13874589	+
AT3G33112	13878668	+
AT3G33115	13885025	+
AT3G33118	13893141	-
AT3G33121	13896073	+
AT3G33124	13904219	+
AT3G33127	13910237	+
AT3G33130	13919325	+
AT3G33131	13923674	+
AT3G33133	13926894	+
AT3G33136	13939903	-
AT3G33139	13945162	-
AT3G33142	13950958	+
AT3G33145	13955956	-
AT3G33148	13959337	-
AT3G33151	13963601	-
AT3G33154	13965599	+
AT3G33157	13969697	+
AT3G33160	13974397	+
AT3G33163	13976809	+
AT3G33166	13982869	-
AT3G33169	13987724	-
AT3G33172	14000072	-
AT3G33175	14005209	-
AT3G33178	14006544	+
AT3G33181	14013961	+
AT3G33185	14017703	+
AT3G33187	14021392	-
AT3G33189	14028344	+
AT3G33193	14030705	+
AT3G33197	14128922	+
AT3G33201	14126545	-
AT3G33215	14113040	+
AT3G33225	14111122	-
AT3G33230	14106869	+
AT3G33235	14102699	+
AT3G33293	14037626	-
AT3G33377	14100407	+
AT3G33393	14038234	-
AT3G33448	14097799	+
AT3G33494	14038360	+
AT3G33520	14095588	-
AT3G33528	14084346	-
AT3G33530	14085248	+
AT3G33537	14080142	-
AT3G33545	14072061	+
AT3G33555	14068926	+
AT3G33565	14060883	+
AT3G33570	14059944	-
AT3G33572	14056099	-
AT3G33575	14052167	+
AT3G33585	14050223	-
AT3G33595	14046583	-
AT3G34299	14133048	+
AT3G35003	14106276	-
AT3G35707	14138239	-
AT3G36411	14142132	-
AT3G36659	2100021	+
AT3G37820	14146316	+
AT3G38525	14152323	+
AT3G39230	14163605	-
AT3G39935	14167164	+
AT3G40640	14170714	-
AT3G41345	14172161	-
AT3G41761	14195917	+
AT3G41762	14196865	-
AT3G41768	14197677	+
AT3G41979	14199753	+
AT3G42050	14233441	-
AT3G42052	14235495	+
AT3G42054	14243235	+
AT3G42057	14246667	+
AT3G42060	14254269	-
AT3G42065	14255659	+
AT3G42070	14257869	+
AT3G42075	14297931	+
AT3G42080	14260594	+
AT3G42083	14261959	+
AT3G42086	14272239	-
AT3G42090	14274222	+
AT3G42100	14281278	-
AT3G42110	14284706	-
AT3G42115	14294330	-
AT3G42120	14295721	+
AT3G42130	14298883	-
AT3G42140	14303018	-
AT3G42148	14308169	-
AT3G42150	14309275	+
AT3G42153	14312254	-
AT3G42155	14313498	-
AT3G42160	14314583	+
AT3G42170	14320943	+
AT3G42174	14330084	+
AT3G42178	14338697	+
AT3G42179	14344962	+
AT3G42180	14328722	-
AT3G42181	14350964	+
AT3G42182	14356741	-
AT3G42186	14359522	-
AT3G42190	14364926	+
AT3G42200	14372702	+
AT3G42203	14377539	-
AT3G42206	14378346	+
AT3G42220	14384179	-
AT3G42230	14388016	-
AT3G42233	14388225	+
AT3G42236	14391714	+
AT3G42240	14398293	-
AT3G42245	14401324	+
AT3G42250	14403683	+
AT3G42251	14406118	+
AT3G42252	14407296	+
AT3G42253	14411778	+
AT3G42254	14415004	+
AT3G42255	14416062	+
AT3G42256	14432589	-
AT3G42257	14434094	+
AT3G42258	14438817	-
AT3G42260	14441496	-
AT3G42270	14441782	+
AT3G42280	14448962	-
AT3G42290	14449068	+
AT3G42300	14454332	+
AT3G42305	14459109	-
AT3G42310	14459818	+
AT3G42313	14464231	+
AT3G42316	14470707	-
AT3G42320	14482649	-
AT3G42330	14484419	+
AT3G42340	14487638	+
AT3G42350	14492587	-
AT3G42353	14497541	-
AT3G42356	14498824	+
AT3G42360	14500246	+
AT3G42383	14508029	-
AT3G42386	14509932	+
AT3G42390	14518467	-
AT3G42400	14520618	+
AT3G42410	14523578	+
AT3G42420	14527365	+
AT3G42430	14543380	+
AT3G42431	14546388	+
AT3G42432	14558482	-
AT3G42433	14560743	-
AT3G42434	14564581	+
AT3G42436	14570230	+
AT3G42438	14574279	+
AT3G42440	14577331	+
AT3G42445	14583365	-
AT3G42450	14586114	+
AT3G42460	14591220	-
AT3G42470	14599355	-
AT3G42471	14613555	-
AT3G42472	14616954	+
AT3G42473	14607080	+
AT3G42474	14618794	+
AT3G42476	14620897	+
AT3G42478	14624308	+
AT3G42480	14628635	-
AT3G42490	14630400	-
AT3G42500	14631925	-
AT3G42510	14633419	-
AT3G42520	14633957	+
AT3G42530	14639783	-
AT3G42535	14642479	+
AT3G42540	14645107	+
AT3G42545	14657060	+
AT3G42550	14669135	-
AT3G42553	14671479	+
AT3G42556	14676967	+
AT3G42560	14680265	+
AT3G42565	14683410	-
AT3G42570	14689058	+
AT3G42580	14690821	+
AT3G42590	14696258	+
AT3G42600	14697763	+
AT3G42610	14699145	+
AT3G42620	14700970	-
AT3G42621	14701782	+
AT3G42622	14709298	-
AT3G42624	14712749	+
AT3G42626	14720449	-
AT3G42628	14720872	-
AT3G42630	14722250	+
AT3G42640	14724103	+
AT3G42645	14734029	-
AT3G42650	14741466	-
AT3G42653	14745900	-
AT3G42656	14746448	+
AT3G42658	14750294	-
AT3G42660	14751280	+
AT3G42670	14760629	-
AT3G42680	14763400	-
AT3G42690	14766989	+
AT3G42700	14772634	+
AT3G42710	14775123	-
AT3G42711	14777102	-
AT3G42712	14782489	-
AT3G42713	14787110	-
AT3G42714	14792552	+
AT3G42715	14795811	+
AT3G42716	14799890	+
AT3G42717	14815118	+
AT3G42718	14821960	+
AT3G42719	14803536	+
AT3G42720	14830962	-
AT3G42721	14835583	-
AT3G42723	14841189	-
AT3G42725	14843718	-
AT3G42726	14805356	+
AT3G42727	14808341	-
AT3G42730	14845236	+
AT3G42740	14851876	+
AT3G42750	14853372	+
AT3G42760	14855560	-
AT3G42763	14858983	-
AT3G42766	14861485	+
AT3G42770	14867122	+
AT3G42780	14871213	+
AT3G42783	14875383	-
AT3G42786	14876476	+
AT3G42790	14879792	-
AT3G42791	14888342	+
AT3G42792	14892081	+
AT3G42794	14895823	+
AT3G42796	14899844	+
AT3G42798	14901653	+
AT3G42800	14905230	+
AT3G42803	14908575	+
AT3G42806	14914008	+
AT3G42810	14919657	+
AT3G42820	14927032	-
AT3G42830	14930678	-
AT3G42835	14931950	+
AT3G42836	14935117	-
AT3G42837	14936240	+
AT3G42850	14945319	-
AT3G42860	14948228	-
AT3G42870	14949456	+
AT3G42875	14951431	+
AT3G42880	14954363	+
AT3G42883	14959892	-
AT3G42886	14963295	+
AT3G42890	14966924	+
AT3G42900	14970609	+
AT3G42910	14977761	-
AT3G42913	14979792	+
AT3G42916	14983525	+
AT3G42920	14987428	-
AT3G42922	14989934	+
AT3G42924	14994581	-
AT3G42927	14994906	+
AT3G42930	14999235	-
AT3G42935	15001676	+
AT3G42940	15006613	+
AT3G42945	15010801	+
AT3G42950	15015086	+
AT3G42960	15019685	-
AT3G42980	15027589	+
AT3G42990	15030354	+
AT3G42993	15031624	+
AT3G42995	15051658	+
AT3G42996	15038985	+
AT3G43000	15046814	-
AT3G43005	15048332	+
AT3G43020	15052579	+
AT3G43025	15058928	-
AT3G43040	15060571	+
AT3G43050	15062529	+
AT3G43060	15067927	-
AT3G43070	15068972	+
AT3G43080	15075080	-
AT3G43083	15077257	-
AT3G43090	15084520	-
AT3G43095	15088694	-
AT3G43100	15089891	+
AT3G43110	15092521	-
AT3G43120	15094048	+
AT3G43123	15098851	-
AT3G43126	15100476	+
AT3G43128	15105385	+
AT3G43130	15112253	-
AT3G43140	15112431	+
AT3G43141	15115856	-
AT3G43142	15121602	-
AT3G43144	15129553	-
AT3G43146	15134145	+
AT3G43147	15137565	+
AT3G43148	15139995	+
AT3G43150	15143695	+
AT3G43151	15146641	-
AT3G43152	15147242	+
AT3G43153	15150916	-
AT3G43154	15151222	+
AT3G43156	15154032	+
AT3G43157	15156980	+
AT3G43158	15161434	+
AT3G43160	15166561	+
AT3G43170	15172754	-
AT3G43175	15177508	-
AT3G43180	15178043	+
AT3G43190	15184105	-
AT3G43205	15187420	-
AT3G43210	15190786	+
AT3G43220	15203139	-
AT3G43230	15207367	+
AT3G43240	15214947	-
AT3G43250	15216585	+
AT3G43260	15219454	+
AT3G43270	15225495	-
AT3G43280	15230251	-
AT3G43290	15230568	+
AT3G43291	15232108	-
AT3G43300	15245281	-
AT3G43302	15246180	+
AT3G43303	15250630	+
AT3G43304	15251803	+
AT3G43307	15262136	+
AT3G43315	15275043	-
AT3G43320	15276993	-
AT3G43330	15279347	+
AT3G43340	15285851	-
AT3G43350	15286073	+
AT3G43352	15299640	-
AT3G43355	15304269	-
AT3G43356	15306362	-
AT3G43357	15307272	+
AT3G43358	15316207	-
AT3G43359	15316172	+
AT3G43360	15320762	+
AT3G43370	15323338	+
AT3G43380	15325460	-
AT3G43390	15330946	-
AT3G43400	15332136	+
AT3G43410	15341109	-
AT3G43415	15343309	-
AT3G43420	15345315	+
AT3G43425	15348513	+
AT3G43430	15355494	-
AT3G43432	15360090	-
AT3G43433	15360394	+
AT3G43436	15361697	+
AT3G43440	15367546	+
AT3G43442	15373325	+
AT3G43444	15377568	+
AT3G43447	15382326	+
AT3G43450	15385955	-
AT3G43460	15390501	-
AT3G43470	15393281	-
AT3G43480	15394463	-
AT3G43485	15394570	+
AT3G43490	15398859	+
AT3G43500	15400718	-
AT3G43503	15400717	+
AT3G43505	15402899	-
AT3G43510	15405378	-
AT3G43520	15405984	+
AT3G43521	15408945	+
AT3G43522	15410131	+
AT3G43523	15413769	+
AT3G43524	15420060	+
AT3G43526	15423007	+
AT3G43528	15426468	+
AT3G43530	15430076	-
AT3G43540	15430660	+
AT3G43546	15446894	-
AT3G43550	15448635	+
AT3G43563	15460869	-
AT3G43566	15466805	-
AT3G43570	15473345	+
AT3G43571	15480920	+
AT3G43572	15479233	-
AT3G43573	15487248	+
AT3G43574	15480028	-
AT3G43575	15497791	-
AT3G43580	15502016	+
AT3G43583	15507076	-
AT3G43586	15509301	-
AT3G43590	15509527	+
AT3G43600	15517545	-
AT3G43610	15524096	-
AT3G43620	15525398	+
AT3G43622	15530149	-
AT3G43625	15538492	-
AT3G43630	15538816	+
AT3G43635	15541165	+
AT3G43640	15546872	+
AT3G43645	15560401	+
AT3G43650	15551111	-
AT3G43652	15554963	-
AT3G43654	15559710	-
AT3G43657	15562115	-
AT3G43660	15565224	+
AT3G43670	15567067	+
AT3G43675	15575045	-
AT3G43680	15576456	+
AT3G43681	15584429	-
AT3G43682	15584589	+
AT3G43684	15587105	-
AT3G43686	15587720	+
AT3G43688	15592267	+
AT3G43690	15598179	+
AT3G43700	15601754	+
AT3G43710	15605608	+
AT3G43715	15607606	-
AT3G43720	15617309	-
AT3G43723	15622167	+
AT3G43726	15630085	-
AT3G43730	15633913	+
AT3G43740	15644009	+
AT3G43750	15646460	+
AT3G43760	15649422	-
AT3G43770	15651000	-
AT3G43780	15651304	+
AT3G43790	15655319	+
AT3G43800	15660770	+
AT3G43810	15666469	-
AT3G43825	15670223	+
AT3G43828	15678009	-
AT3G43830	15679850	-
AT3G43833	15687554	+
AT3G43835	15692317	+
AT3G43837	15690840	+
AT3G43840	15700352	+
AT3G43850	15704391	-
AT3G43860	15706954	+
AT3G43862	15716641	-
AT3G43863	15717829	-
AT3G43864	15720790	-
AT3G43867	15726638	-
AT3G43870	15728176	+
AT3G43880	15738616	-
AT3G43890	15743612	-
AT3G43910	15751387	+
AT3G43920	15753387	+
AT3G43930	15763406	-
AT3G43940	15765371	-
AT3G43950	15766361	+
AT3G43955	15773629	-
AT3G43960	15775873	-
AT3G43970	15778166	-
AT3G43980	15779360	-
AT3G43990	15785184	-
AT3G44000	15788739	-
AT3G44006	15796133	+
AT3G44010	15801227	-
AT3G44020	15801372	+
AT3G44035	15808431	+
AT3G44042	15814056	-
AT3G44045	15817539	+
AT3G44050	15818511	+
AT3G44060	15826391	-
AT3G44070	15829823	-
AT3G44080	15837126	-
AT3G44090	15839123	+
AT3G44093	15853462	-
AT3G44096	15863166	-
AT3G44100	15867534	-
AT3G44110	15871256	-
AT3G44115	15874918	+
AT3G44120	15879830	-
AT3G44130	15881870	+
AT3G44140	15885380	-
AT3G44150	15887490	+
AT3G44160	15891988	-
AT3G44170	15894790	+
AT3G44175	15898567	+
AT3G44180	15900795	+
AT3G44190	15903628	-
AT3G44200	15906348	+
AT3G44205	15915321	-
AT3G44210	15916270	+
AT3G44215	15923690	-
AT3G44220	15927939	+
AT3G44230	15932134	+
AT3G44235	15933284	+
AT3G44240	15940184	+
AT3G44250	15950245	-
AT3G44260	15953346	-
AT3G44261	15954667	-
AT3G44264	15959820	-
AT3G44265	15956246	-
AT3G44267	15960323	+
AT3G44270	15962693	+
AT3G44280	15971200	-
AT3G44290	15975250	-
AT3G44300	15983199	+
AT3G44310	15986624	+
AT3G44320	15993259	+
AT3G44325	15999922	-
AT3G44326	16002163	-
AT3G44330	16006508	+
AT3G44340	16020336	-
AT3G44350	16024519	-
AT3G44370	16035273	-
AT3G44380	16037216	-
AT3G44390	16039600	-
AT3G44400	16049803	-
AT3G44405	16049942	+
AT3G44420	16056297	+
AT3G44425	16057731	+
AT3G44428	16067725	-
AT3G44430	16068257	+
AT3G44435	16069046	-
AT3G44440	16070840	+
AT3G44450	16074929	-
AT3G44460	16081906	-
AT3G44470	16086568	-
AT3G44480	16096477	-
AT3G44485	16097400	-
AT3G44490	16097479	+
AT3G44500	16101417	+
AT3G44510	16111316	-
AT3G44530	16115498	+
AT3G44540	16123426	+
AT3G44550	16137576	+
AT3G44555	16144665	+
AT3G44560	16151123	+
AT3G44570	16158405	+
AT3G44580	16161837	-
AT3G44590	16163709	+
AT3G44600	16169304	-
AT3G44605	16175446	+
AT3G44610	16192365	-
AT3G44620	16193674	+
AT3G44630	16195848	+
AT3G44635	16200095	-
AT3G44640	16209058	-
AT3G44650	16212164	-
AT3G44660	16215785	-
AT3G44665	16216097	+
AT3G44670	16216806	+
AT3G44680	16230009	-
AT3G44690	16234287	-
AT3G44695	16237095	-
AT3G44700	16237789	-
AT3G44703	16239471	+
AT3G44704	16244348	-
AT3G44705	16244952	+
AT3G44710	16253535	-
AT3G44713	16260205	+
AT3G44716	16263046	+
AT3G44718	16266314	-
AT3G44720	16271511	+
AT3G44730	16283833	+
AT3G44735	16292464	-
AT3G44740	16297970	-
AT3G44750	16297656	+
AT3G44753	16302780	-
AT3G44755	16301834	+
AT3G44760	16305322	+
AT3G44763	16308432	+
AT3G44765	16311975	+
AT3G44766	16310244	+
AT3G44769	16315610	+
AT3G44770	16315932	+
AT3G44780	16322604	-
AT3G44785	16328448	-
AT3G44790	16328697	+
AT3G44793	16330898	+
AT3G44796	16335174	+
AT3G44798	16342295	+
AT3G44800	16343333	+
AT3G44805	16350395	+
AT3G44810	16359983	-
AT3G44820	16364750	-
AT3G44830	16368890	+
AT3G44840	16373759	-
AT3G44850	16377263	-
AT3G44860	16379571	+
AT3G44870	16382219	+
AT3G44880	16383595	+
AT3G44890	16386395	+
AT3G44900	16388724	+
AT3G44910	16394579	-
AT3G44920	16399924	-
AT3G44930	16404824	-
AT3G44935	16409003	+
AT3G44940	16415319	-
AT3G44950	16421045	+
AT3G44955	16427112	-
AT3G44960	16427581	+
AT3G44970	16432286	+
AT3G44980	16441023	+
AT3G44990	16448844	-
AT3G45000	16460103	+
AT3G45010	16466144	+
AT3G45020	16470263	-
AT3G45030	16472409	-
AT3G45040	16475830	-
AT3G45050	16475957	+
AT3G45060	16479559	-
AT3G45070	16487375	-
AT3G45080	16489782	-
AT3G45090	16495170	-
AT3G45093	16496727	+
AT3G45095	16504054	-
AT3G45100	16504314	+
AT3G45110	16508170	+
AT3G45120	16512050	-
AT3G45130	16517768	-
AT3G45140	16525245	+
AT3G45150	16531179	+
AT3G45160	16534265	-
AT3G45170	16537538	+
AT3G45180	16539212	-
AT3G45190	16548367	-
AT3G45200	16549730	-
AT3G45210	16558169	-
AT3G45220	16566330	-
AT3G45230	16569051	+
AT3G45240	16573762	-
AT3G45243	16575823	+
AT3G45245	16578384	+
AT3G45248	16581929	+
AT3G45250	16583723	+
AT3G45252	16586048	+
AT3G45253	16594622	-
AT3G45256	16595099	+
AT3G45260	16598811	-
AT3G45270	16603563	-
AT3G45275	16605781	+
AT3G45280	16613521	-
AT3G45285	16614566	+
AT3G45290	16617398	+
AT3G45300	16625043	-
AT3G45310	16630570	-
AT3G45320	16631635	+
AT3G45330	16634569	-
AT3G45340	16636472	+
AT3G45350	16639041	+
AT3G45360	16641619	+
AT3G45370	16642780	+
AT3G45380	16647172	-
AT3G45390	16649974	-
AT3G45400	16651573	+
AT3G45410	16656575	-
AT3G45420	16660240	-
AT3G45430	16664146	-
AT3G45440	16667672	-
AT3G45443	16669608	-
AT3G45446	16671931	-
AT3G45450	16673146	+
AT3G45460	16680043	-
AT3G45470	16681261	-
AT3G45480	16684592	-
AT3G45490	16687893	-
AT3G45500	16689693	-
AT3G45510	16691728	-
AT3G45520	16696797	-
AT3G45525	16697828	-
AT3G45530	16703459	-
AT3G45540	16707649	-
AT3G45550	16712000	-
AT3G45555	16713009	-
AT3G45560	16722674	-
AT3G45570	16726116	-
AT3G45577	16728701	+
AT3G45580	16731511	-
AT3G45590	16732540	+
AT3G45600	16735951	-
AT3G45610	16740546	-
AT3G45620	16745873	+
AT3G45630	16753843	-
AT3G45638	16756263	-
AT3G45640	16756571	+
AT3G45645	16756784	-
AT3G45650	16758877	+
AT3G45660	16761716	+
AT3G45670	16765320	+
AT3G45673	16768257	-
AT3G45680	16770888	+
AT3G45690	16776268	+
AT3G45700	16778713	+
AT3G45710	16782588	+
AT3G45720	16785046	+
AT3G45730	16789780	+
AT3G45740	16790761	+
AT3G45750	16798000	-
AT3G45755	16799249	+
AT3G45760	16804967	-
AT3G45770	16807950	-
AT3G45775	16813871	-
AT3G45780	16816721	+
AT3G45790	16826222	-
AT3G45800	16831134	-
AT3G45810	16837792	-
AT3G45820	16840983	-
AT3G45830	16840652	+
AT3G45840	16849944	-
AT3G45850	16861529	-
AT3G45851	16861431	+
AT3G45860	16866261	-
AT3G45870	16867033	+
AT3G45880	16871609	-
AT3G45890	16871578	+
AT3G45900	16876083	-
AT3G45910	16877075	-
AT3G45920	16882182	+
AT3G45930	16883316	+
AT3G45935	16885891	+
AT3G45940	16889171	-
AT3G45950	16890803	-
AT3G45955	16891639	+
AT3G45960	16892702	+
AT3G45965	16894163	+
AT3G45970	16896166	+
AT3G45980	16898013	-
AT3G45990	16904136	-
AT3G46000	16909119	-
AT3G46010	16910845	-
AT3G46020	16913350	-
AT3G46030	16914131	-
AT3G46040	16914525	+
AT3G46050	16916072	+
AT3G46060	16917527	+
AT3G46070	16920957	-
AT3G46080	16923299	-
AT3G46086	16925258	-
AT3G46090	16926883	-
AT3G46100	16931053	-
AT3G46110	16931991	+
AT3G46120	16939766	-
AT3G46130	16945230	+
AT3G46140	16948090	+
AT3G46150	16950145	-
AT3G46160	16950955	+
AT3G46170	16953780	-
AT3G46180	16956885	-
AT3G46183	16962212	-
AT3G46190	16965105	+
AT3G46200	16968423	+
AT3G46210	16978916	-
AT3G46220	16979048	+
AT3G46230	16984841	-
AT3G46240	16988064	-
AT3G46260	16999992	-
AT3G46270	17004344	-
AT3G46280	17008528	-
AT3G46290	17012500	+
AT3G46300	17016746	-
AT3G46310	17017825	-
AT3G46320	17020428	-
AT3G46330	17025069	-
AT3G46340	17026658	+
AT3G46345	17032489	+
AT3G46350	17036427	+
AT3G46355	17039609	+
AT3G46360	17043500	-
AT3G46370	17051520	+
AT3G46375	17055919	+
AT3G46380	17059896	-
AT3G46382	17063425	+
AT3G46387	17067675	+
AT3G46390	17071683	-
AT3G46400	17073144	+
AT3G46410	17079093	+
AT3G46420	17082108	+
AT3G46430	17087538	+
AT3G46440	17092065	-
AT3G46450	17095729	-
AT3G46460	17097465	-
AT3G46470	17100973	-
AT3G46480	17103173	+
AT3G46484	17106790	+
AT3G46487	17111429	+
AT3G46490	17115483	+
AT3G46500	17120351	+
AT3G46510	17126897	-
AT3G46520	17128211	+
AT3G46530	17133462	-
AT3G46540	17136152	-
AT3G46550	17138259	-
AT3G46560	17138476	+
AT3G46565	17144931	+
AT3G46570	17146867	-
AT3G46580	17148232	+
AT3G46585	17149752	+
AT3G46590	17152460	+
AT3G46600	17157819	+
AT3G46610	17162475	-
AT3G46613	17165791	+
AT3G46614	17171044	-
AT3G46616	17173982	-
AT3G46617	17175987	-
AT3G46620	17180559	-
AT3G46630	17182560	-
AT3G46640	17183042	+
AT3G46650	17187821	-
AT3G46658	17188839	+
AT3G46660	17191167	-
AT3G46666	17191893	-
AT3G46668	17191668	+
AT3G46670	17194397	-
AT3G46680	17196743	-
AT3G46690	17199363	-
AT3G46700	17202074	-
AT3G46710	17209203	-
AT3G46720	17212541	-
AT3G46730	17215755	-
AT3G46735	17214279	+
AT3G46740	17219411	-
AT3G46750	17219741	+
AT3G46760	17221936	+
AT3G46770	17223809	+
AT3G46780	17228642	+
AT3G46790	17234045	-
AT3G46800	17236668	-
AT3G46810	17240623	-
AT3G46820	17244281	-
AT3G46830	17248791	-
AT3G46840	17251011	+
AT3G46845	17255802	-
AT3G46850	17256338	+
AT3G46860	17260234	+
AT3G46870	17262943	+
AT3G46875	17264580	+
AT3G46880	17265234	+
AT3G46890	17267128	-
AT3G46900	17268875	+
AT3G46910	17278542	+
AT3G46920	17285048	-
AT3G46930	17285565	+
AT3G46940	17288953	-
AT3G46950	17289369	+
AT3G46960	17298222	-
AT3G46970	17306633	-
AT3G46980	17309964	-
AT3G46990	17311672	+
AT3G47000	17316639	-
AT3G47010	17319531	-
AT3G47020	17319862	+
AT3G47030	17322119	+
AT3G47040	17327152	-
AT3G47050	17330889	-
AT3G47060	17332926	+
AT3G47070	17337733	-
AT3G47080	17340543	-
AT3G47090	17344762	-
AT3G47100	17345570	+
AT3G47110	17350953	-
AT3G47120	17352853	-
AT3G47130	17353714	+
AT3G47140	17357026	+
AT3G47150	17358591	+
AT3G47160	17362118	-
AT3G47165	17363833	-
AT3G47170	17370494	-
